LTL Formula,Trace,Type,AST
x1 -> F(x2),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))"
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
G(x1 -> (X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"G!(x1 & x2 & x3 ) & 
G!(!x1 & !x2 & !x3 ) &
G((x1 & x2 & !x3 )| (x1 & !x2 & x3 )| (!x1 & x2 & x3 )| (!x1 & !x2 & x3 )| (!x1 & x2 & !x3 )| (x1 & !x2 & !x3 )) & 
G((x1 & x2 & !x3 )->X((!x1 & x2 & x3 )| (x1 & !x2 & x3 ))) &G((x1 & !x2 & x3 )->X((!x1 & x2 & x3 )| (x1 & x2 & !x3 ))) &
G((!x1 & x2 & x3 )->X((x1 & !x2 & x3 )| (!x1 & !x2 & x3 ))) &
G((!x1 & x2 & !x3 )->X((x1 & !x2 & x3 )| (x1 & x2 & !x3 ))) & 
G((x1 & !x2 & !x3 )->X((x1 & x2 & !x3 )| (!x1 & x2 & x3 )))",[x1 = TRUE];[x1 = FALSE];...,Positive,ERROR
"G!(x1 & x2 & x3 ) & 
G!(!x1 & !x2 & !x3 ) &
G((x1 & x2 & !x3 )| (x1 & !x2 & x3 )| (!x1 & x2 & x3 )| (!x1 & !x2 & x3 )| (!x1 & x2 & !x3 )| (x1 & !x2 & !x3 )) & 
G((x1 & x2 & !x3 )->X((!x1 & x2 & x3 )| (x1 & !x2 & x3 ))) &G((x1 & !x2 & x3 )->X((!x1 & x2 & x3 )| (x1 & x2 & !x3 ))) &
G((!x1 & x2 & x3 )->X((x1 & !x2 & x3 )| (!x1 & !x2 & x3 ))) &
G((!x1 & x2 & !x3 )->X((x1 & !x2 & x3 )| (x1 & x2 & !x3 ))) & 
G((x1 & !x2 & !x3 )->X((x1 & x2 & !x3 )| (!x1 & x2 & x3 )))",[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,ERROR
G (x3 <-> (X(x1 & x2) & F(x1 & x2))),"[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"Always(LEquiv(AtomicProposition(""x3""),LAnd(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))"
G (x3 <-> (X(x1 & x2) & F(x1 & x2))),"[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative,"Always(LEquiv(AtomicProposition(""x3""),LAnd(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))"
(x1 U x2) & G(x2 -> F (!x1)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Positive,"LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(LImplies(AtomicProposition(""x2""),Eventually(Not(AtomicProposition(""x1""))))))"
(x1 U x2) & G(x2 -> F (!x1)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Negative,"LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(LImplies(AtomicProposition(""x2""),Eventually(Not(AtomicProposition(""x1""))))))"
G(x1 ->F(x2)) & G(!x3 U (x1 & x2)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"LAnd(Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Always(Until(Not(AtomicProposition(""x3"")), LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
G(x1 ->F(x2)) & G(!x3 U (x1 & x2)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative,"LAnd(Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Always(Until(Not(AtomicProposition(""x3"")), LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LImplies(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LImplies(LAnd(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x1""))))"
F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),True,Negative,"LImplies(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),LImplies(LAnd(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x1""))))"
G(x1->X(x2)) & G(x2->X(x3)) & G(x3->X(x1)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"LAnd(LAnd(Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2"")))),Always(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x3""))))),Always(LImplies(AtomicProposition(""x3""),Next(AtomicProposition(""x1"")))))"
G(x1->X(x2)) & G(x2->X(x3)) & G(x3->X(x1)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"LAnd(LAnd(Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2"")))),Always(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x3""))))),Always(LImplies(AtomicProposition(""x3""),Next(AtomicProposition(""x1"")))))"
F(x1)->(x2 U x1) & G(x3),"[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Positive,"LImplies(Eventually(AtomicProposition(""x1"")),LAnd(Until(AtomicProposition(""x2""), AtomicProposition(""x1"")),Always(AtomicProposition(""x3""))))"
F(x1)->(x2 U x1) & G(x3),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Negative,"LImplies(Eventually(AtomicProposition(""x1"")),LAnd(Until(AtomicProposition(""x2""), AtomicProposition(""x1"")),Always(AtomicProposition(""x3""))))"
G(x1->F(x3 & F(x2))),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Eventually(LAnd(AtomicProposition(""x3""),Eventually(AtomicProposition(""x2""))))))"
G(x1->F(x3 & F(x2))),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Eventually(LAnd(AtomicProposition(""x3""),Eventually(AtomicProposition(""x2""))))))"
G((x1->!x2) & X(!x1->X(x2))),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive,"Always(LAnd(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Next(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x2""))))))"
G((x1->!x2) & X(!x1->X(x2))),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LAnd(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),Next(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x2""))))))"
x1 & x2 & x3 -> X(G(x4)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = TRUE];...",Positive,"LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),Next(Always(AtomicProposition(""x4""))))"
x1 & x2 & x3 -> X(G(x4)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];...",Negative,"LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),Next(Always(AtomicProposition(""x4""))))"
G(x1->(X(!x2) & X(x3) & X(X(!x3)))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))),Next(Next(Not(AtomicProposition(""x3"")))))))"
G(x1->(X(!x2) & X(x3) & X(X(!x3)))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))),Next(Next(Not(AtomicProposition(""x3"")))))))"
G((x1 U !x1) & (!x1 U x1)),[x1 = FALSE];[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Always(LAnd(Until(AtomicProposition(""x1""), Not(AtomicProposition(""x1""))),Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))"
G((x1 U !x1) & (!x1 U x1)),[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LAnd(Until(AtomicProposition(""x1""), Not(AtomicProposition(""x1""))),Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x1""))))"
G(!x1) -> ((x2 -> X(!x2 & x3)) & (x3 ->X(!x3 & x2))),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Positive,"LImplies(Always(Not(AtomicProposition(""x1""))),LAnd(LImplies(AtomicProposition(""x2""),Next(LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))),LImplies(AtomicProposition(""x3""),Next(LAnd(Not(AtomicProposition(""x3"")),AtomicProposition(""x2""))))))"
G(!x1) -> ((x2 -> X(!x2 & x3)) & (x3 ->X(!x3 & x2))),"[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];...",Negative,"LImplies(Always(Not(AtomicProposition(""x1""))),LAnd(LImplies(AtomicProposition(""x2""),Next(LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))),LImplies(AtomicProposition(""x3""),Next(LAnd(Not(AtomicProposition(""x3"")),AtomicProposition(""x2""))))))"
x1 & x2 & x3 -> F(x1) & F(x2) & F(x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive,"LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),LAnd(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3""))))"
x1 & x2 & x3 -> F(x1) & F(x2) & F(x3),True,Negative,"LImplies(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")),LAnd(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3""))))"
G(X(!x1->((x2 & X(!x2)) & (!x3 & X(x3))))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"Always(Next(LImplies(Not(AtomicProposition(""x1"")),LAnd(LAnd(AtomicProposition(""x2""),Next(Not(AtomicProposition(""x2"")))),LAnd(Not(AtomicProposition(""x3"")),Next(AtomicProposition(""x3"")))))))"
G(X(!x1->((x2 & X(!x2)) & (!x3 & X(x3))))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(Next(LImplies(Not(AtomicProposition(""x1"")),LAnd(LAnd(AtomicProposition(""x2""),Next(Not(AtomicProposition(""x2"")))),LAnd(Not(AtomicProposition(""x3"")),Next(AtomicProposition(""x3"")))))))"
G(F(x1) -> (F(x1) | F(G(x1)))),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive,"Always(LImplies(Eventually(AtomicProposition(""x1"")),LOr(Eventually(AtomicProposition(""x1"")),Eventually(Always(AtomicProposition(""x1""))))))"
G(F(x1) -> (F(x1) | F(G(x1)))),True,Negative,"Always(LImplies(Eventually(AtomicProposition(""x1"")),LOr(Eventually(AtomicProposition(""x1"")),Eventually(Always(AtomicProposition(""x1""))))))"
G((x3->!x1 & x2) & ((x1 & x2) -> x3) & F(x1 & x2 & x3)),True,Positive,"Always(LAnd(LAnd(LImplies(AtomicProposition(""x3""),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3""))),Eventually(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")))))"
G((x3->!x1 & x2) & ((x1 & x2) -> x3) & F(x1 & x2 & x3)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"Always(LAnd(LAnd(LImplies(AtomicProposition(""x3""),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3""))),Eventually(LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),AtomicProposition(""x3"")))))"
G(x1) -> G(x2) U (!x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"LImplies(Always(AtomicProposition(""x1"")),Until(Always(AtomicProposition(""x2"")), Not(AtomicProposition(""x3""))))"
G(x1) -> G(x2) U (!x3),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Negative,"LImplies(Always(AtomicProposition(""x1"")),Until(Always(AtomicProposition(""x2"")), Not(AtomicProposition(""x3""))))"
G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE, x4 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive,"Always(LAnd(LAnd(LAnd(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),Next(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x1""))))),Always(Until(AtomicProposition(""x4""), AtomicProposition(""x1"")))),Eventually(AtomicProposition(""x2""))))"
G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Negative,"Always(LAnd(LAnd(LAnd(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),Next(LImplies(AtomicProposition(""x2""),Next(AtomicProposition(""x1""))))),Always(Until(AtomicProposition(""x4""), AtomicProposition(""x1"")))),Eventually(AtomicProposition(""x2""))))"
G(!x1 -> X(x1)),[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))"
G(!x1 -> X(x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = TRUE];...,Negative,"Always(LImplies(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))"
G(x1 -> G(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
G(x1 -> G(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Always(AtomicProposition(""x2""))))"
!x1 U F(x1) & X(G(!x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(Until(Not(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))),Next(Always(Not(AtomicProposition(""x1"")))))"
!x1 U F(x1) & X(G(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative,"LAnd(Until(Not(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))),Next(Always(Not(AtomicProposition(""x1"")))))"
G(x1-> !(x2 & x3)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))"
G(x1-> !(x2 & x3)),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))"
G((x1->x2 U x3) & (x2->x3)),"[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Positive,"Always(LAnd(LImplies(AtomicProposition(""x1""),Until(AtomicProposition(""x2""), AtomicProposition(""x3""))),LImplies(AtomicProposition(""x2""),AtomicProposition(""x3""))))"
G((x1->x2 U x3) & (x2->x3)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LAnd(LImplies(AtomicProposition(""x1""),Until(AtomicProposition(""x2""), AtomicProposition(""x3""))),LImplies(AtomicProposition(""x2""),AtomicProposition(""x3""))))"
X(x1)->F(x2),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LImplies(Next(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
X(x1)->F(x2),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LImplies(Next(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
G(x1) & X(X(!x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Positive,"LAnd(Always(AtomicProposition(""x1"")),Next(Next(Not(AtomicProposition(""x2"")))))"
G(x1) & X(X(!x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Negative,"LAnd(Always(AtomicProposition(""x1"")),Next(Next(Not(AtomicProposition(""x2"")))))"
G(x1 U F(x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Positive,"Always(Until(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))"
G(x1 U F(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(Until(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))"
F(x1) -> F(x2),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LImplies(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
F(x1) -> F(x2),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LImplies(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2"")))"
G(x1 & x2) -> F(x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"LImplies(Always(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
G(x1 & x2) -> F(x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"LImplies(Always(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3"")))"
G(x1 -> (F(x2) & F(x3))),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Eventually(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x3"")))))"
G(x1 -> (F(x2) & F(x3))),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Eventually(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x3"")))))"
G((x1->!x3) U (!x1->x3)),"[x1 = FALSE, x3 = FALSE];[x1 = TRUE, x3 = FALSE];[x1 = FALSE, x3 = FALSE];...",Positive,"Always(Until(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x3""))), LImplies(Not(AtomicProposition(""x1"")),AtomicProposition(""x3""))))"
G((x1->!x3) U (!x1->x3)),"[x1 = FALSE, x3 = FALSE];[x1 = FALSE, x3 = FALSE];...",Negative,"Always(Until(LImplies(AtomicProposition(""x1""),Not(AtomicProposition(""x3""))), LImplies(Not(AtomicProposition(""x1"")),AtomicProposition(""x3""))))"
G(x1->X(!x1) | !x1->X(x1)),[x1 = TRUE];[x1 = TRUE];...,Positive,"Always(LImplies(AtomicProposition(""x1""),LImplies(LOr(Next(Not(AtomicProposition(""x1""))),Not(AtomicProposition(""x1""))),Next(AtomicProposition(""x1"")))))"
G(x1->X(!x1) | !x1->X(x1)),[x1 = TRUE];[x1 = FALSE];...,Negative,"Always(LImplies(AtomicProposition(""x1""),LImplies(LOr(Next(Not(AtomicProposition(""x1""))),Not(AtomicProposition(""x1""))),Next(AtomicProposition(""x1"")))))"
X(x1) | G(x1),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive,"LOr(Next(AtomicProposition(""x1"")),Always(AtomicProposition(""x1"")))"
X(x1) | G(x1),[x1 = FALSE];[x1 = FALSE];...,Negative,"LOr(Next(AtomicProposition(""x1"")),Always(AtomicProposition(""x1"")))"
G(x1 U (x2 | x3) & F(x3)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LAnd(Until(AtomicProposition(""x1""), LOr(AtomicProposition(""x2""),AtomicProposition(""x3""))),Eventually(AtomicProposition(""x3""))))"
G(x1 U (x2 | x3) & F(x3)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LAnd(Until(AtomicProposition(""x1""), LOr(AtomicProposition(""x2""),AtomicProposition(""x3""))),Eventually(AtomicProposition(""x3""))))"
G((x1 & x2) ->X(x3)) & F(x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"LAnd(Always(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))),Eventually(AtomicProposition(""x3"")))"
G((x1 & x2) ->X(x3)) & F(x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"LAnd(Always(LImplies(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))),Eventually(AtomicProposition(""x3"")))"
G(!x2) | G(x2 U x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive,"LOr(Always(Not(AtomicProposition(""x2""))),Always(Until(AtomicProposition(""x2""), AtomicProposition(""x1""))))"
G(!x2) | G(x2 U x1),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"LOr(Always(Not(AtomicProposition(""x2""))),Always(Until(AtomicProposition(""x2""), AtomicProposition(""x1""))))"
x1 & x2 & X(x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Positive,"LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))"
x1 & x2 & X(x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"LAnd(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")),Next(AtomicProposition(""x3"")))"
G(F(x1 & x2)),"[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Positive,"Always(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
G(F(x1 & x2)),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"Always(Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
G (x1 ->(X(!x1) & X(X(x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
